Country,Code,Year,gdpPerCap,literacy,popDensity,under_slum,below_poverty,Import,Export,Corruption,GovEff,PolSta,adult_mortality,Male,Female
Cameroon,CMR,1960,119.519178787728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Congo, Dem. Rep.",COD,1960,220.314062094535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Congo, Rep.",COG,1960,129.370463498733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,COL,1960,251.04136654977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Costa Rica,CRI,1960,381.36511464301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caribbean small states,CSS,1960,447.101607262419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominican Republic,DOM,1960,204.11474750958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algeria,DZA,1960,246.30876252962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
East Asia & Pacific (excluding high income),EAP,1960,89.6819088394616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Early-demographic dividend,EAR,1960,155.815809363297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
East Asia & Pacific,EAS,1960,147.228999712198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecuador,ECU,1960,455.461586837328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euro area,EMU,1960,923.42424735748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,ESP,1960,396.392253337614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
European Union,EUU,1960,890.405623241718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,FIN,1960,1179.35301099994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiji,FJI,1960,285.473560637195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,FRA,1960,1334.69005583825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gabon,GAB,1960,282.413795136241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom,GBR,1960,1397.5948032844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,GHA,1960,183.449562150492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,GRC,1960,520.322744310383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guatemala,GTM,1960,247.841986231897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guyana,GUY,1960,297.673299079368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High income,HIC,1960,1396.95811295921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hong Kong SAR, China",HKG,1960,429.442874392053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honduras,HND,1960,164.644722539428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heavily indebted poor countries (HIPC),HPC,1960,107.198892083718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haiti,HTI,1960,70.6611393892491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IBRD only,IBD,1960,160.306287754272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IDA & IBRD total,IBT,1960,149.688416674742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IDA total,IDA,1960,99.417238681931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IDA blend,IDB,1960,99.0897865879433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IDA only,IDX,1960,102.972065012983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
India,IND,1960,82.1886020091056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ireland,IRL,1960,685.61471237976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iran, Islamic Rep.",IRN,1960,191.680781242215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iraq,IRQ,1960,231.025648935514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iceland,ISL,1960,1414.98226940621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Israel,ISR,1960,1229.1747476372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,ITA,1960,804.492623346178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamaica,JAM,1960,429.255200419043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Japan,JPN,1960,478.995340162869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,KEN,1960,97.445525021684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cambodia,KHM,1960,111.342479726807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Kitts and Nevis,KNA,1960,241.558035198162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Korea, Rep.",KOR,1960,158.211302156413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latin America & Caribbean (excluding high income),LAC,1960,358.209799177707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latin America & Caribbean,LCN,1960,371.126043742742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sri Lanka,LKA,1960,142.779621883716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Low & middle income,LMY,1960,145.515120410938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lesotho,LSO,1960,41.3000685726608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late-demographic dividend,LTE,1960,169.486061931504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luxembourg,LUX,1960,2242.0158166161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morocco,MAR,1960,164.800779039246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madagascar,MDG,1960,131.99303602155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,MEX,1960,345.230559078387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle income,MIC,1960,150.214783418661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mauritania,MRT,1960,108.902852933461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,MWI,1960,44.5238943299158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malaysia,MYS,1960,234.938753415302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North America,NAC,1960,2939.44833510733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,NER,1960,132.652162430184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nigeria,NGA,1960,92.9604697208495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nicaragua,NIC,1960,126.248381627432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,NLD,1960,1068.78458723735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norway,NOR,1960,1441.75566002633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nepal,NPL,1960,50.3049875027919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Zealand,NZL,1960,2312.94999239859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OECD members,OED,1960,1354.04505138237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pakistan,PAK,1960,82.3997298183606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panama,PAN,1960,474.094017901195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,1960,253.264821576031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philippines,PHL,1960,254.45894522833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Papua New Guinea,PNG,1960,102.17661342363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pre-demographic dividend,PRE,1960,59.3616931789937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puerto Rico,PRI,1960,717.514843087362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portugal,PRT,1960,360.499298506858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Post-demographic dividend,PST,1960,1381.46715973651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rwanda,RWA,1960,40.5371146164542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Asia,SAS,1960,82.2802696591915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sudan,SDN,1960,125.85985110863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Senegal,SEN,1960,312.993743681806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Singapore,SGP,1960,428.058980027396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sierra Leone,SLE,1960,138.938759825547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Somalia,SOM,1960,65.4795973166728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub-Saharan Africa (excluding high income),SSA,1960,131.464536917642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub-Saharan Africa,SSF,1960,131.48895919255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suriname,SUR,1960,346.161996171896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,SWE,1960,2114.00297269192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eswatini,SWZ,1960,104.212507692992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seychelles,SYC,1960,288.058159419365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syrian Arab Republic,SYR,1960,187.537374273096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad,TCD,1960,104.471544307755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
East Asia & Pacific (IDA & IBRD countries),TEA,1960,90.6553931072762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Togo,TGO,1960,76.6384541690086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thailand,THA,1960,100.76747866621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latin America & the Caribbean (IDA & IBRD countries),TLA,1960,365.543452176676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Asia (IDA & IBRD),TSA,1960,82.2802696591915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub-Saharan Africa (IDA & IBRD countries),TSS,1960,131.48895919255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trinidad and Tobago,TTO,1960,631.702114968573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turkey,TUR,1960,509.423852150563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uganda,UGA,1960,62.5095976551585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Upper middle income,UMC,1960,193.52372380102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uruguay,URY,1960,489.351688758496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States,USA,1960,3007.12344537862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Vincent and the Grenadines,VCT,1960,161.361346785941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Venezuela, RB",VEN,1960,955.446183374363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
World,WLD,1960,452.749355974765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Africa,ZAF,1960,443.009816049236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zambia,ZMB,1960,232.188866918329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zimbabwe,ZWE,1960,278.813699118353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,1961,59.8608738790779,NA,14.044986674018901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,AUS,1961,1874.73210577126,NA,1.36456529945459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austria,AUT,1961,1031.8150043291,NA,85.8113223540809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burundi,BDI,1961,71.1671882088235,NA,111.076246105919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,BEL,1961,1350.19767333123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benin,BEN,1961,95.5721547147448,NA,21.8682777580702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,BFA,1961,71.558180092437,NA,17.8895467836257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bangladesh,BGD,1961,97.5952739108149,NA,379.218276100484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahamas, The",BHS,1961,1651.28898476982,NA,11.5005994005994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belize,BLZ,1961,316.403606143266,NA,4.15181937746602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bermuda,BMU,1961,1961.5381692465,NA,842.592577711873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolivia,BOL,1961,109.061011508637,NA,3.44222653004708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,BRA,1961,205.04076826426,NA,8.8908947445245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Botswana,BWA,1961,64.1765151013703,NA,0.904637128791488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic,CAF,1961,80.6875878682005,NA,2.44962278082763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canada,CAN,1961,2240.43303945853,NA,2.00923515782135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1961,1971.31632279228,NA,137.479607692554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,CHL,1961,555.133934614754,NA,11.168060891795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
China,CHN,1961,75.8058379259965,NA,70.3357920805262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cote d'Ivoire,CIV,1961,170.242769201326,NA,11.4199779874214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameroon,CMR,1961,124.426729896829,NA,11.1802521630598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Congo, Dem. Rep.",COD,1961,197.391371783205,NA,6.89781831013873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Congo, Rep.",COG,1961,145.406396949718,NA,3.05451244509517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,COL,1961,274.052363416871,NA,14.9326822893195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Costa Rica,CRI,1961,355.003776917523,NA,27.0501958480219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caribbean small states,CSS,1961,475.671873774736,NA,10.5584486166008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominican Republic,DOM,1961,192.027725260401,NA,70.508797350445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algeria,DZA,1961,214.776273516192,NA,4.75968787525087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
East Asia & Pacific (excluding high income),EAP,1961,78.7600188154789,NA,56.1557469160876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Early-demographic dividend,EAR,1961,152.909158558617,NA,30.2692762179931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
East Asia & Pacific,EAS,1961,147.153176136958,NA,42.8052235304339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecuador,ECU,1961,375.2216257143,NA,16.8840196503395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euro area,EMU,1961,1005.28005833402,NA,101.146653889373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,ESP,1961,450.053289246968,NA,61.5055624474769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
European Union,EUU,1961,959.710043595171,NA,98.0287819279401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,FIN,1961,1327.427224366,NA,14.6459338783282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiji,FJI,1961,287.2635289804,NA,22.2905856595512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,FRA,1961,1428.04548673446,NA,86.2736942249401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gabon,GAB,1961,331.431867958805,NA,1.96297201847324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom,GBR,1961,1472.38571407868,NA,218.244946885463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,GHA,1961,190.218771854768,NA,30.0971038059242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,GRC,1961,590.780054812393,NA,65.1516679596587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guatemala,GTM,1961,248.308208470062,NA,40.4641937290034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guyana,GUY,1961,315.385459502551,NA,2.99564841645061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High income,HIC,1961,1456.98504599171,NA,22.0135455556251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hong Kong SAR, China",HKG,1961,436.754411520393,NA,3105.98039215686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honduras,HND,1961,169.909593023117,NA,18.736339261775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heavily indebted poor countries (HIPC),HPC,1961,107.518859899921,NA,9.52748125681517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haiti,HTI,1961,68.7645486592402,NA,143.031349782293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IBRD only,IBD,1961,151.365190626131,NA,27.8992710555727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IDA & IBRD total,IBT,1961,143.041345693504,NA,24.9406523722677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IDA total,IDA,1961,102.46566228636,NA,16.3696056191703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IDA blend,IDB,1961,103.394393983028,NA,21.299940226334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IDA only,IDX,1961,105.407768127731,NA,14.7395833412421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
India,IND,1961,85.3543011749033,NA,154.595624564861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ireland,IRL,1961,739.276406442666,NA,40.9986935694586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iran, Islamic Rep.",IRN,1961,196.925081789233,NA,13.8021390505661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iraq,IRQ,1961,245.032053889609,NA,17.0915929304708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iceland,ISL,1961,1418.12586971526,NA,1.78582543640898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Israel,ISR,1961,1436.38443935927,NA,100.970425138632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,ITA,1961,887.336744604475,NA,171.828057529496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamaica,JAM,1961,453.056187959716,NA,152.453647276085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Japan,JPN,1961,563.586759838827,NA,258.911917098446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,KEN,1961,94.6512587875024,NA,14.7199212847454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cambodia,KHM,1961,109.460387525777,NA,33.2708248357127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Kitts and Nevis,KNA,1961,243.851174137022,NA,146.262857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Korea, Rep.",KOR,1961,93.8317591480009,NA,267.112512958739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latin America & Caribbean (excluding high income),LAC,1961,364.415659973248,NA,11.0227396463557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latin America & Caribbean,LCN,1961,382.356025445602,NA,11.2595514045484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sri Lanka,LKA,1961,142.83817062385,NA,161.24441077978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Low & middle income,LMY,1961,138.314083561919,NA,24.9395545781137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lesotho,LSO,1961,41.8568467378908,NA,28.0925559947299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late-demographic dividend,LTE,1961,156.165374014051,NA,24.6881846098148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luxembourg,LUX,1961,2222.36636636277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morocco,MAR,1961,158.923667416326,NA,28.4773513465071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madagascar,MDG,1961,133.847581549068,NA,8.98230216322179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,MEX,1961,363.393205614651,NA,20.0447830448314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle income,MIC,1961,142.613406879885,NA,27.2060459267835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mauritania,MRT,1961,123.033969037153,NA,0.849501309789463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,MWI,1961,46.581647315026,NA,39.7513046245227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malaysia,MYS,1961,225.933513017345,NA,25.6211352914321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North America,NAC,1961,2991.59289655408,NA,11.0673734766759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,NER,1961,139.340163524689,NA,2.7522902028894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nigeria,NGA,1961,96.9790447168249,NA,50.5765044961955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nicaragua,NIC,1961,131.450221517895,NA,15.2050689712481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,NLD,1961,1159.39235716074,NA,344.748578199052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norway,NOR,1961,1560.3249311723,NA,9.88325654747479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nepal,NPL,1961,51.8112285436763,NA,71.7990489510489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Zealand,NZL,1961,2343.29221317425,NA,9.1895484410011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OECD members,OED,1961,1401.6543337162,NA,23.3277070967924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pakistan,PAK,1961,88.0186442789439,NA,59.7566819738481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panama,PAN,1961,513.254757679848,NA,15.6996637072908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,1961,277.56871029727,NA,8.161421875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philippines,PHL,1961,267.18288754574,NA,91.0650003352779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Papua New Guinea,PNG,1961,106.585000660639,NA,5.07233802941306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pre-demographic dividend,PRE,1961,60.041657343246,NA,10.7849184126503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puerto Rico,PRI,1961,777.215027407341,NA,270.543630214205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portugal,PRT,1961,382.729946994368,NA,97.5881530054645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Post-demographic dividend,PST,1961,1440.0331598076,NA,24.3319623530159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rwanda,RWA,1961,40.6893902428856,NA,121.537292257803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Asia,SAS,1961,85.9457518962253,NA,122.376603165637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sudan,SDN,1961,133.082208643336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
